Mikel Arruabarrena,Adidas,ACE 17.1 Leather>,0,
Jon Errasti,Nike,Magista Opus II>,0,
Ander Capa,Nike,Mercurial Vapor XI>,0,
RaÃºl Albentosa,Nike,Hypervenom Phantom III DF>,0,
Txema AÃ±ibarro,Nike,Tiempo Legend VI>,0,
Gorka Kijera,Adidas,ACE 17.1 Leather>,0,
Eneko BÃ³veda,Nike,Mercurial Superfly V>,0,
Xabi Irureta,Nike,Mercurial Vapor XI>,0,
Irazusta,Umbro,Geo Flare>,0,
Dani GarcÃ­a,Adidas,ACE 17.1 Leather>,0,
Lillo,Nike,Mercurial Vapor XI>,0,
RaÃºl Navas,Adidas,ACE 17.1 Leather>,0,
Javi Lara,Adidas,F50 Adizero>,0,
Carlos Clerc,Nike,Hypervenom Phantom III DF>,0,
Christian Alfonso,Nike,Magista Opus II>,0,
Ãlvaro GonzÃ¡lez,Nike,Tiempo Legend VI>,0,
Paco MontaÃ±Ã©s,Adidas,X 16.1>,0,
Pau LÃ³pez,Adidas,ACE 17.1 Leather>,0,
Andrea Belotti,Adidas,X 16.1>,0,
DamiÃ¡n MartÃ­nez,Puma,evoPOWER>,0,
Khouma Babacar,Adidas,X 15.1>,0,
Michele Camporese,Nike,Tiempo Legend VI>,0,
Federico Bernardeschi,Nike,Magista Obra II>,0,
Robert Green,New Balance,Visaro Leather>,0,
Danny Simpson,Adidas,X 16.1>,0,
Armand TraorÃ©,Nike,Tiempo Legend VI>,0,
Clint Hill,Adidas,ACE 17.1 Leather>,0,
Matt Phillips,Adidas,X 16.1>,0,
Joey Barton,Nike,Magista Opus II>,0,
Charlie Austin,Nike,Mercurial Vapor XI>,0,
Shaun Wright-Phillips,Nike,Tiempo Legend VI>,0,
Nedum Onuoha,Nike,Tiempo Legend VI>,0,
Jermaine Jenas,Nike,Magista Opus II>,0,
Karl Henry,Nike,Tiempo Legend VI>,0,
David Hoilett,Nike,Hypervenom Phantom III>,0,
Brian Murphy,Nike,CTR360 Maestri>,0,
Michael Harriman,Adidas,Predator LZ>,0,
Max Ehmer,Adidas,ACE 17.1 Leather>,0,
Alejandro FaurlÃ­n,Adidas,X 15.1 Leather>,0,
Richard Dunne,Nike,Tiempo Legend VI>,0,
GermÃ¡n Lux,Nike,Magista Obra>,0,
Manuel Pablo,Lotto,Zhero Gravity>,0,
Roberto Canella,Puma,evoPOWER Vigor 1>,0,
Ãlex BergantiÃ±os,Nike,Magista Opus II>,0,
Pablo InsÃºa,Puma,evoSPEED 17 SL-S>,0,
Lucas PÃ©rez,Nike,Mercurial Vapor XI>,0,
Rudy,Nike,Tiempo Legend VI>,0,
Borja BastÃ³n,Nike,Hypervenom Phantom III DF>,0,
Juan DomÃ­nguez,Adidas,ACE 17.1 Leather>,0,
Javier Arizmendi,Adidas,ACE 17.1 Leather>,0,
Fabricio Agosto,Nike,Magista Opus II>,0,
Laure,Nike,Mercurial Superfly V>,0,
Luisinho,Adidas,ACE 17.1 Leather>,0,
Diogo SalomÃ£o,Nike,Hypervenom Phantom III DF>,0,
TochÃ©,Adidas,X 16.1>,0,
Cezary Wilk,Adidas,ACE 17.1 Leather>,0,
Diego Seoane,Adidas,Predator LZ>,0,
Alberto Lopo,Nike,Magista Obra II>,0,
Luis FariÃ±a,Nike,Mercurial Vapor XI>,0,
Juan Carlos Real,Nike,Magista Opus II>,0,
David GÃ³mez,Adidas,ACE 17.1 Leather>,0,
Stefan DeÃ¡k,Nike,CTR360 Maestri>,0,
Mike Havenaar,Adidas,X 15+ Primeknit>,0,
Joselu,Adidas,X 16.1>,0,
Patrick Ekeng Ekeng,Adidas,X 16.1>,0,
Daniel Pinillos,Nike,Mercurial Vapor XI>,0,
Juan Carlos,Nike,Magista Opus II>,0,
Samu,Nike,Mercurial Vapor XI>,0,
Iago BouzÃ³n,Nike,CTR360 Maestri>,0,
Luso,Adidas,ACE 17.1 Leather>,0,
Miguel Ãngel Nieto,Adidas,X 16.1>,0,
